KLASIFIKASI,,,,URUSAN/FUNGSI
0,,,,UMUM
0,.1,,,KETATAUSAHAAN DAN KERUMAHTANGGAAN
,,,,
0,.1,.1,,Telekomunikasi
0,.1,.2,,Perjalanan Dinas Dalam Negeri
0,.1,.2,.1,Perjalanan Dinas Kepala Daerah
0,.1,.2,.2,Perjalanan Dinas Anggota DPRD
0,.1,.2,.3,Perjalanan Dinas Pegawai
,,,,
0,.1,.3,,Perjalanan Dinas Luar Negeri
0,.1,.3,.1,Perjalanan Dinas Kepala Daerah
0,.1,.3,.2,Perjalanan Dinas Anggota DPRD
0,.1,.3,.3,Perjalanan Dinas Pegawai
,,,,
0,.1,.4,,"Penggunaan Fasilitas Kantor Antara lain: Permintaan dan Penggunaan Ruang Rapat, Gedung, Kendaraan, wisma Rumah Dinas dan Fasilitas Kantor Lainnya"
,,,,
0,.1,.5,,Rapat Pimpinan antara lain: Notula/Risalah Rapat
,,,,
0,.1,.6,,Penyediaan Konsumsi
,,,,
0,.1,.7,,Pengurusan kendaraan dinas
0,.1,.7,.1,Pengurusan surat-surat kendaraan dinas
0,.1,.7,.2,Pemeliharaan dan perbaikan
0,.1,.7,.3,Pengurusan kehilangan dan masalah kendaraan
,,,,
0,.1,.8,,"Pemeliharaan Gedung, Taman dan Peralatan Kantor"
0,.1,.8,.1,Pertamanan/ Landscape
0,.1,.8,.2,Penghijauan
0,.1,.8,.3,Perbaikan Gedung
0,.1,.8,.4,Perbaikan Peralatan Kantor
0,.1,.8,.5,Perbaikan Rumah Dinas/ Wisma
0,.1,.8,.6,Kebersihan Gedung dan Taman
,,,,
0,.1,.9,,"Pengelolaan jaringan listrik, air, telepon, dan komputer"
0,.1,.9,.1,Perbaikan / pemeliharaan
0,.1,.9,.2,Pemasangan
,,,,
0,.1,.10,,Ketertiban dan keamanan
0,.1,.10,.1,"Pengamanan, penjagaan, dan pengawalan terhadap pejabat,
 kantor, dan rumah dinas"
0,.1,.10,.2,Laporan Ketertiban dan keamanan
,,,,
0,.1,.11,,Administrasi pengelolaan parkir
,,,,
KLASIFIKASI,,,,URUSAN/FUNGSI
0,.1,.12,,"Administrasi pakaian dinas pegawai, satpam, petugas
 kebersihan dan pegawai lainnya"
,,,,
0,.2,,,PERLENGKAPAN
,,,,
0,.2,.1,,Inventarisasi dan Penyimpanan
0,.2,.1,.1,Data hasil inventarisasi dan penyimpanan
0,.2,.1,.2,Laporan dan evaluasi inventarisasi dan penyimpanan
,,,,
0,.2,.2,,Pemeliharaan peralatan kantor
0,.2,.2,.1,Data hasil pemeliharaan kantor
0,.2,.2,.2,Laporan dan evaluasi pemeliharaan kantor
,,,,
0,.2,.3,,Distribusi
0,.2,.3,.1,Barang habis pakai
0,.2,.3,.2,Barang milik daerah
,,,,
0,.2,.4,,"Penghapusan Barang Milik Daerah antara lain: Keputusan Pembentukan Tim, Berita Acara, Penghapusan Barang Milik Daerah, Daftar Barang yang dihapuska, Laporan Hasil Pelaksanaan Penghapusan BMD termasuk didalamnya lelang
 penghapusan"
,,,,
0,.2,.5,,Pengelolaan Database Barang Milik Daerah
,,,,
0,.3,,,PENGADAAN
,,,,
0,.3,.1,,"Rencana pengadaan Barang dan jasa (antara lain: : identifikasi dan analisis kebutuhan barang/jasa, penyusunan dan penetapan rencana penganggaran pengadaan, penetapan kebijakan umum, penyusunan kerangka Acuan Kerja (KAK), Pengumuman Rencana Umum Pengadaan)"
,,,,
0,.3,.2,,"Pengadaan Langsung (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia,
 penandatanganan kontrak, pelaksanaan kontrak)"
,,,,
0,.3,.3,,"Pengadaan Tidak Langsung/Lelang (antara lain: persiapan pemilihan penyedia, pelaksanaan pemilihan penyedia, penandatanganan kontrak, pelaksanaan kontrak)"
,,,,
0,.3,.4,,"Swakelola (antara lain: perencanaan, pelaksanaan dan
 evaluasi)"
,,,,
,,,,
KLASIFIKASI,,,,URUSAN/FUNGSI
0,.3,.5,,Pengolahan Sistem Informasi Pengadaan antara lain : Data base pengguna sistem informasi pengadaan barang/jasa
,,,,
0,.3,.6,,"Monitoring dan evaluasi pelaksanaan kebijakan dan
 pelaksanaan pengadaan antara lain: Laporan Hasil Monitoring, Laporan hasil evaluasi"
,,,,
0,.4,,,PERPUSTAKAAN
,,,,
0,.4,.1,,"Kebijakan di bidang Perpustakaan yang dilakukan oleh
 Pemerintah Daerah"
,,,,
0,.4,.2,,Deposit Bahan Pustaka
0,.4,.2,.1,Serah Simpan Karya Cetak dan Karya Rekam
0,.4,.2,.2,Pangkalan Data Penerbit dan Pengusaha Rekaman
0,.4,.2,.3,Terbitan Internasional dan Regional
0,.4,.2,.4,Pemantauan Wajib Serah Simpan
0,.4,.2,.5,Bibliografi dan Katalog
,,,,
0,.4,.3,,Koleksi Pustaka
0,.4,.3,.1,Pembelian
0,.4,.3,.2,Hibah
0,.4,.3,.3,Hadiah
0,.4,.3,.4,Tukar menukar
0,.4,.3,.5,Implementasi Undang-Undang KCKR
0,.4,.3,.6,Terbitan Internal
0,.4,.3,.7,Pendistribusian bahan pustaka surplus
0,.4,.3,.8,Inventarisasi koleksi (Buku Induk)
,,,,
0,.4,.4,,Pengolahan Bahan Pustaka
,,,,
0,.4,.5,,Pangkalan Data Katalog Koleksi
,,,,
0,.4,.6,,Layanan Perpustakaan
0,.4,.6,.1,Keanggotaan
0,.4,.6,.2,Peminjaman
0,.4,.6,.3,Pengembangan gemar baca
,,,,
0,.4,.7,,Kerjasama Perpustakaan
0,.4,.7,.1,MOU
0,.4,.7,.2,Perjanjian kerjasama
0,.4,.7,.3,Partisipasi organisasi profesi dan kerjasama internasional
,,,,
,,,,
KLASIFIKASI,,,,URUSAN/FUNGSI
0,.4,.8,,"Pengembangan Implementasi Teknologi Informasi
 Perpustakaan"
0,.4,.8,.1,Pengembangan situs web
0,.4,.8,.2,Pengembangan kemas ulang informasi multimedia
0,.4,.8,.3,Pengembangan program aplikasi perpustakaan
0,.4,.8,.4,Pengembangan pangkalan data kepustakaan digital
,,,,
0,.4,.9,,Pangkalan Data Layanan Perpustakaan
,,,,
0,.4,.10,,Konsersi
0,.4,.10,.1,Perawatan Bahan Perpustakaan
0,.4,.10,.2,Perbaikan Bahan Perpustakaan
0,.4,.10,.3,Penjilidan Bahan Perpustakaan
,,,,
0,.4,.11,,"URUSAN/FUNGSI Reprografi (Mikrofilm, Reproduksi Foto)"
0,.4,.12,,Transformasi Digital
0,.4,.13,,Kurasi Digital
,,,,
0,.4,.14,,Pengembangan Perpustakaan
